Simulation Time,Event Type,Vehicle ID,Message Size
2.60292,PseudonymMessage,,488
2.71535,PseudonymMessage,,488
20.5375,PseudonymMessage,,488
20.5822,PseudonymMessage,,488
38.0963,PseudonymMessage,,488
38.8381,PseudonymMessage,,488
40.8381,PseudonymMessage,,488
56.2902,PseudonymMessage,,488
56.6603,PseudonymMessage,,488
58.2902,PseudonymMessage,,488
74.4539,PseudonymMessage,,488
74.6796,PseudonymMessage,,488
76.4539,PseudonymMessage,,488
76.6796,PseudonymMessage,,488
78.6796,PseudonymMessage,,488
92.3594,PseudonymMessage,,488
92.3997,PseudonymMessage,,488
94.3594,PseudonymMessage,,488
94.3997,PseudonymMessage,,488
96.3997,PseudonymMessage,,488
98.3997,PseudonymMessage,,488
100.4,PseudonymMessage,,488
102.4,PseudonymMessage,,488
110.012,PseudonymMessage,,488
110.116,PseudonymMessage,,488
128.097,PseudonymMessage,,488
128.791,PseudonymMessage,,488
130.097,PseudonymMessage,,488
146.081,PseudonymMessage,,488
146.223,PseudonymMessage,,488
148.223,PseudonymMessage,,488
150.223,PseudonymMessage,,488
164.359,PseudonymMessage,,488
164.761,PseudonymMessage,,488
166.359,PseudonymMessage,,488
182.311,PseudonymMessage,,488
182.792,PseudonymMessage,,488
184.311,PseudonymMessage,,488
184.791,PseudonymMessage,,488
186.311,PseudonymMessage,,488
200.5,PseudonymMessage,,488
200.993,PseudonymMessage,,488
202.5,PseudonymMessage,,488
202.993,PseudonymMessage,,488
204.993,PseudonymMessage,,488
206.993,PseudonymMessage,,488
208.993,PseudonymMessage,,488
218.532,PseudonymMessage,,488
218.964,PseudonymMessage,,488
220.964,PseudonymMessage,,488
236.167,PseudonymMessage,,488
236.173,PseudonymMessage,,488
238.167,PseudonymMessage,,488
254.359,PseudonymMessage,,488
254.617,PseudonymMessage,,488
256.617,PseudonymMessage,,488
272.529,PseudonymMessage,,488
273.971,PseudonymMessage,,488
274.529,PseudonymMessage,,488
275.971,PseudonymMessage,,488
290.371,PseudonymMessage,,488
290.615,PseudonymMessage,,488
308.309,PseudonymMessage,,488
308.898,PseudonymMessage,,488
310.898,PseudonymMessage,,488
326.081,PseudonymMessage,,488
326.8,PseudonymMessage,,488
328.081,PseudonymMessage,,488
328.8,PseudonymMessage,,488
344.887,PseudonymMessage,,488
346.887,PseudonymMessage,,488
347.366,PseudonymMessage,,488
348.887,PseudonymMessage,,488
362.294,PseudonymMessage,,488
364.294,PseudonymMessage,,488
