Simulation Time,Event Type,Vehicle ID,Message Size
2.84443,PseudonymMessage,,488
2.85811,PseudonymMessage,,488
4.85811,PseudonymMessage,,488
20.5375,PseudonymMessage,,488
20.7588,PseudonymMessage,,488
22.5375,PseudonymMessage,,488
22.7588,PseudonymMessage,,488
38.0559,PseudonymMessage,,488
38.5098,PseudonymMessage,,488
40.0559,PseudonymMessage,,488
40.5098,PseudonymMessage,,488
42.0559,PseudonymMessage,,488
44.0559,PseudonymMessage,,488
46.0559,PseudonymMessage,,488
56.5701,PseudonymMessage,,488
56.591,PseudonymMessage,,488
58.5701,PseudonymMessage,,488
58.591,PseudonymMessage,,488
63.8444,PseudonymMessage,,488
63.8581,PseudonymMessage,,488
65.8444,PseudonymMessage,,488
65.8583,PseudonymMessage,,488
67.8444,PseudonymMessage,,488
67.8581,PseudonymMessage,,488
69.8444,PseudonymMessage,,488
69.8581,PseudonymMessage,,488
74.3202,PseudonymMessage,,488
74.7585,PseudonymMessage,,488
76.3202,PseudonymMessage,,488
78.3202,PseudonymMessage,,488
80.3202,PseudonymMessage,,488
81.5375,PseudonymMessage,,488
82.3202,PseudonymMessage,,488
83.5375,PseudonymMessage,,488
83.7589,PseudonymMessage,,488
84.3202,PseudonymMessage,,488
92.2508,PseudonymMessage,,488
92.6776,PseudonymMessage,,488
94.2508,PseudonymMessage,,488
94.6776,PseudonymMessage,,488
96.2508,PseudonymMessage,,488
96.6776,PseudonymMessage,,488
98.6776,PseudonymMessage,,488
101.51,PseudonymMessage,,488
110.065,PseudonymMessage,,488
110.783,PseudonymMessage,,488
112.783,PseudonymMessage,,488
114.783,PseudonymMessage,,488
116.783,PseudonymMessage,,488
119.57,PseudonymMessage,,488
119.591,PseudonymMessage,,488
128.461,PseudonymMessage,,488
128.827,PseudonymMessage,,488
130.461,PseudonymMessage,,488
130.827,PseudonymMessage,,488
130.844,PseudonymMessage,,488
130.858,PseudonymMessage,,488
132.827,PseudonymMessage,,488
132.844,PseudonymMessage,,488
132.858,PseudonymMessage,,488
134.827,PseudonymMessage,,488
134.858,PseudonymMessage,,488
135.759,PseudonymMessage,,488
137.759,PseudonymMessage,,488
139.759,PseudonymMessage,,488
144.538,PseudonymMessage,,488
144.759,PseudonymMessage,,488
145.32,PseudonymMessage,,488
146.085,PseudonymMessage,,488
146.222,PseudonymMessage,,488
146.538,PseudonymMessage,,488
146.759,PseudonymMessage,,488
147.32,PseudonymMessage,,488
148.085,PseudonymMessage,,488
148.222,PseudonymMessage,,488
148.759,PseudonymMessage,,488
150.759,PseudonymMessage,,488
155.251,PseudonymMessage,,488
162.51,PseudonymMessage,,488
164.51,PseudonymMessage,,488
164.588,PseudonymMessage,,488
164.81,PseudonymMessage,,488
166.81,PseudonymMessage,,488
171.065,PseudonymMessage,,488
173.065,PseudonymMessage,,488
175.065,PseudonymMessage,,488
177.783,PseudonymMessage,,488
180.57,PseudonymMessage,,488
180.591,PseudonymMessage,,488
182.233,PseudonymMessage,,488
182.824,PseudonymMessage,,488
184.824,PseudonymMessage,,488
186.824,PseudonymMessage,,488
191.461,PseudonymMessage,,488
193.461,PseudonymMessage,,488
193.844,PseudonymMessage,,488
195.844,PseudonymMessage,,488
195.858,PseudonymMessage,,488
197.858,PseudonymMessage,,488
198.759,PseudonymMessage,,488
200.119,PseudonymMessage,,488
200.598,PseudonymMessage,,488
200.759,PseudonymMessage,,488
202.119,PseudonymMessage,,488
202.598,PseudonymMessage,,488
202.759,PseudonymMessage,,488
204.119,PseudonymMessage,,488
206.119,PseudonymMessage,,488
207.085,PseudonymMessage,,488
207.538,PseudonymMessage,,488
208.32,PseudonymMessage,,488
209.085,PseudonymMessage,,488
209.538,PseudonymMessage,,488
209.759,PseudonymMessage,,488
211.085,PseudonymMessage,,488
216.251,PseudonymMessage,,488
218.251,PseudonymMessage,,488
218.786,PseudonymMessage,,488
218.971,PseudonymMessage,,488
220.786,PseudonymMessage,,488
225.51,PseudonymMessage,,488
225.588,PseudonymMessage,,488
225.81,PseudonymMessage,,488
227.51,PseudonymMessage,,488
227.588,PseudonymMessage,,488
227.81,PseudonymMessage,,488
229.51,PseudonymMessage,,488
229.588,PseudonymMessage,,488
231.51,PseudonymMessage,,488
231.588,PseudonymMessage,,488
234.065,PseudonymMessage,,488
236.065,PseudonymMessage,,488
236.11,PseudonymMessage,,488
236.566,PseudonymMessage,,488
238.065,PseudonymMessage,,488
238.11,PseudonymMessage,,488
240.11,PseudonymMessage,,488
241.57,PseudonymMessage,,488
241.591,PseudonymMessage,,488
243.233,PseudonymMessage,,488
243.57,PseudonymMessage,,488
243.591,PseudonymMessage,,488
245.233,PseudonymMessage,,488
245.824,PseudonymMessage,,488
247.824,PseudonymMessage,,488
252.461,PseudonymMessage,,488
254.461,PseudonymMessage,,488
254.615,PseudonymMessage,,488
254.945,PseudonymMessage,,488
256.844,PseudonymMessage,,488
258.858,PseudonymMessage,,488
260.858,PseudonymMessage,,488
263.598,PseudonymMessage,,488
263.759,PseudonymMessage,,488
265.598,PseudonymMessage,,488
267.119,PseudonymMessage,,488
268.538,PseudonymMessage,,488
269.119,PseudonymMessage,,488
269.32,PseudonymMessage,,488
270.538,PseudonymMessage,,488
270.759,PseudonymMessage,,488
271.32,PseudonymMessage,,488
272.085,PseudonymMessage,,488
272.506,PseudonymMessage,,488
272.759,PseudonymMessage,,488
273.615,PseudonymMessage,,488
274.085,PseudonymMessage,,488
274.506,PseudonymMessage,,488
274.759,PseudonymMessage,,488
276.506,PseudonymMessage,,488
276.759,PseudonymMessage,,488
277.251,PseudonymMessage,,488
278.759,PseudonymMessage,,488
279.251,PseudonymMessage,,488
279.786,PseudonymMessage,,488
279.971,PseudonymMessage,,488
280.759,PseudonymMessage,,488
281.251,PseudonymMessage,,488
281.786,PseudonymMessage,,488
281.971,PseudonymMessage,,488
283.786,PseudonymMessage,,488
283.971,PseudonymMessage,,488
288.81,PseudonymMessage,,488
290.51,PseudonymMessage,,488
290.576,PseudonymMessage,,488
290.588,PseudonymMessage,,488
290.717,PseudonymMessage,,488
290.81,PseudonymMessage,,488
292.576,PseudonymMessage,,488
292.81,PseudonymMessage,,488
299.065,PseudonymMessage,,488
299.11,PseudonymMessage,,488
301.065,PseudonymMessage,,488
304.233,PseudonymMessage,,488
304.57,PseudonymMessage,,488
306.233,PseudonymMessage,,488
306.57,PseudonymMessage,,488
